tag,step,value,wall_time
RecNet/train_loss,0,0.5201199054718018,1771165089.124261
RecNet/train_loss,1,0.36513710021972656,1771165094.466781
RecNet/train_loss,2,0.34547486901283264,1771165105.235983
RecNet/train_loss,3,0.3335181176662445,1771165118.9593549
RecNet/train_loss,4,0.32550883293151855,1771165133.085053
RecNet/train_loss,5,0.3192581236362457,1771165144.7328951
RecNet/train_loss,6,0.31406089663505554,1771165151.0979748
RecNet/train_loss,7,0.30729037523269653,1771165165.580049
RecNet/train_loss,8,0.3012165427207947,1771165177.535594
RecNet/train_loss,9,0.2976570427417755,1771165183.0685465
RecNet/train_loss,10,0.29505589604377747,1771165191.5539746
RecNet/train_loss,11,0.29262518882751465,1771165197.490347
RecNet/train_loss,12,0.2921055257320404,1771165203.028148
RecNet/train_loss,13,0.2910184860229492,1771165208.452775
RecNet/train_loss,14,0.29091978073120117,1771165215.2998445
RecNet/train_loss,15,0.2905815541744232,1771165221.027477
RecNet/train_loss,16,0.2899024486541748,1771165233.5371625
RecNet/train_loss,17,0.29003196954727173,1771165246.8328571
RecNet/train_loss,18,0.2898721992969513,1771165255.17361
RecNet/train_loss,19,0.28935185074806213,1771165265.4614635
RecNet/train_loss,20,0.2899686098098755,1771165273.201143
RecNet/train_loss,21,0.289141982793808,1771165284.3158467
RecNet/train_loss,22,0.28838515281677246,1771165290.390337
RecNet/train_loss,23,0.28913402557373047,1771165301.1264658
RecNet/train_loss,24,0.2886265814304352,1771165315.065487
RecNet/train_loss,25,0.2883266806602478,1771165329.8546033
RecNet/train_loss,26,0.28765615820884705,1771165343.8681579
RecNet/train_loss,27,0.2880673408508301,1771165357.4461863
RecNet/train_loss,28,0.28729352355003357,1771165363.0703654
RecNet/train_loss,29,0.28843095898628235,1771165369.4450247
RecNet/train_loss,30,0.28781718015670776,1771165382.4264066
RecNet/train_loss,31,0.2879585027694702,1771165396.6087818
RecNet/train_loss,32,0.2873675227165222,1771165407.8020844
RecNet/train_loss,33,0.28825244307518005,1771165418.7604427
RecNet/train_loss,34,0.28689149022102356,1771165432.623088
RecNet/train_loss,35,0.28694888949394226,1771165447.5923147
RecNet/train_loss,36,0.28727760910987854,1771165456.4325807
RecNet/train_loss,37,0.2863372564315796,1771165463.093577
RecNet/train_loss,38,0.2862169146537781,1771165472.322371
RecNet/train_loss,39,0.28511667251586914,1771165486.663502
RecNet/train_accuracy,0,85.8408432006836,1771165089.1243076
RecNet/train_accuracy,1,88.85792541503906,1771165094.4668217
RecNet/train_accuracy,2,89.20833587646484,1771165105.2360475
RecNet/train_accuracy,3,89.44603729248047,1771165118.959434
RecNet/train_accuracy,4,89.86475372314453,1771165133.08512
RecNet/train_accuracy,5,90.07513427734375,1771165144.7329314
RecNet/train_accuracy,6,90.2178955078125,1771165151.0980272
RecNet/train_accuracy,7,90.41802978515625,1771165165.5800965
RecNet/train_accuracy,8,90.52527618408203,1771165177.5356266
RecNet/train_accuracy,9,90.61748504638672,1771165183.0685804
RecNet/train_accuracy,10,90.70491790771484,1771165191.5540218
RecNet/train_accuracy,11,90.70082092285156,1771165197.490381
RecNet/train_accuracy,12,90.73429107666016,1771165203.0281808
RecNet/train_accuracy,13,90.7821044921875,1771165208.452808
RecNet/train_accuracy,14,90.7547836303711,1771165215.299878
RecNet/train_accuracy,15,90.77595520019531,1771165221.0275092
